file_id,frame,view,side,punch_type,left_wrist_dx,left_wrist_dy,right_wrist_dx,right_wrist_dy,left_elbow_dx,left_elbow_dy,right_elbow_dx,right_elbow_dy,left_shoulder_dx,left_shoulder_dy,right_shoulder_dx,right_shoulder_dy,nose_dx,nose_dy,left_hip_dx,left_hip_dy,right_hip_dx,right_hip_dy
2,345,side,rear,cross,0.6234,-0.0062,2.1195,-0.1148,0.2348,0.067,1.2932,-0.0606,-0.3222,-0.0014,0.3222,0.0014,0.5133,-0.132,-0.017,0.9898,0.0061,1.0102
2,379,side,lead,hook,1.5256,-0.0549,0.0885,0.1207,1.1099,-0.1148,-0.2678,0.4549,0.4961,-0.0627,-0.4961,0.0627,0.3063,-0.2014,0.3433,0.9754,-0.2817,1.0129
2,394,side,lead,hook,1.16,0.0082,1.568,-0.0545,0.4626,0.069,1.3001,0.0318,-0.3021,-0.0181,0.3021,0.0181,0.5519,-0.1622,-0.0218,0.9894,0.0134,1.0106
2,433,side,lead,uppercut,1.2208,-0.0446,0.239,0.0186,1.0542,0.2756,-0.2019,0.3849,0.4638,0.0123,-0.4638,-0.0123,0.4135,-0.23,0.3388,0.9883,-0.2887,1.0117
2,446,side,rear,uppercut,0.4867,0.0279,1.3338,-0.1666,0.0397,0.1564,1.2236,0.2299,-0.3188,-0.0483,0.3188,0.0483,0.5753,-0.2094,-0.1358,0.9818,-0.0532,1.0182
2,478,side,lead,jab,2.0466,-0.1708,0.3041,0.0879,1.2516,-0.1005,-0.101,0.4393,0.4394,-0.0267,-0.4394,0.0267,0.4358,-0.2199,0.2808,0.9877,-0.3027,1.0123
2,489,side,rear,cross,0.5233,-0.0156,2.175,-0.0659,0.0978,0.0412,1.3686,-0.022,-0.3521,-0.0146,0.3521,0.0146,0.5122,-0.1178,-0.1242,0.988,0.0302,1.012
2,523,side,lead,hook,1.5154,-0.0733,0.1104,0.0837,1.1199,-0.1014,-0.1798,0.4257,0.4971,-0.054,-0.4971,0.054,0.3162,-0.2018,0.3422,0.9552,-0.2892,0.9869
2,544,side,lead,hook,1.2146,0.0383,1.5832,-0.0289,0.6032,0.1234,1.1932,0.061,-0.2264,0.0003,0.2264,-0.0003,0.5451,-0.1639,0.0863,0.9954,0.0006,1.0045
2,577,side,rear,uppercut,0.5635,-0.0559,1.4402,-0.1241,0.0921,0.0963,1.3053,0.256,-0.3499,-0.0629,0.3499,0.0629,0.5872,-0.1875,-0.2628,0.9839,-0.0927,1.0161
2,597,side,lead,uppercut,1.2313,-0.0236,0.2952,0.021,1.0239,0.295,-0.1086,0.3765,0.4344,0.0146,-0.4344,-0.0146,0.4414,-0.2221,0.2988,0.9924,-0.3235,1.0076
3,47,front,lead,jab,0.1288,-0.6736,-0.7957,-0.0342,0.6171,-0.295,-0.9838,0.5766,0.498,-0.0448,-0.498,0.0448,-0.3668,-0.481,0.5206,1.4453,-0.1885,1.4423
3,72,front,lead,jab,0.1785,-0.6532,-0.8159,0.0079,0.4697,-0.3017,-0.9148,0.5803,0.4991,-0.0293,-0.4991,0.0293,-0.3187,-0.4231,0.4836,1.3919,-0.231,1.3987
3,105,front,lead,jab,0.0421,-0.6189,-0.7138,0.1222,0.5947,-0.301,-0.8264,0.6382,0.4955,-0.0667,-0.4955,0.0667,-0.263,-0.418,0.4142,1.3239,-0.3803,1.328
3,114,front,rear,cross,0.6363,-0.0546,0.1689,-0.5168,0.8047,0.4523,-0.3046,-0.2645,0.4994,0.0254,-0.4994,-0.0254,0.1819,-0.3156,0.392,1.0745,-0.3681,1.0536
3,124,front,lead,hook,-0.4984,-0.5046,-0.8314,0.0321,0.6352,-0.247,-0.8478,0.6835,0.4917,-0.0909,-0.4917,0.0909,-0.4997,-0.3364,0.6474,1.543,-0.1514,1.5391
3,148,front,lead,jab,0.154,-0.6337,-0.6708,0.1201,0.6194,-0.2963,-0.7596,0.6508,0.4958,-0.065,-0.4958,0.065,-0.272,-0.4117,0.4831,1.3627,-0.3082,1.3733
3,158,front,rear,cross,0.8368,0.0258,0.4102,-0.5338,0.8089,0.6576,-0.182,-0.2789,0.4949,0.071,-0.4949,-0.071,0.56,-0.2763,0.1435,1.3542,-0.7335,1.3034
3,215,front,lead,jab,0.1634,-0.5222,-0.6546,0.1207,0.6869,-0.1893,-0.7211,0.5749,0.4978,-0.0466,-0.4978,0.0466,-0.251,-0.368,0.4238,1.1741,-0.3404,1.1745
3,222,front,rear,cross,0.6235,0.0339,0.1686,-0.4493,0.7077,0.4991,-0.1967,-0.2511,0.498,0.0442,-0.498,-0.0442,0.2925,-0.3032,0.3178,1.0772,-0.4467,1.0524
3,247,front,lead,jab,0.1759,-0.5894,-0.6492,0.1069,0.5837,-0.2392,-0.7875,0.6232,0.498,-0.0441,-0.498,0.0441,-0.2554,-0.4193,0.4684,1.3821,-0.2832,1.3873
3,256,front,rear,cross,0.683,0.0131,0.2072,-0.5454,0.7654,0.5483,-0.1763,-0.2827,0.4958,0.0647,-0.4958,-0.0647,0.3693,-0.3217,0.2449,1.2236,-0.5873,1.1777
3,293,front,lead,jab,0.091,-0.5899,-0.7295,0.129,0.5847,-0.2701,-0.7276,0.6143,0.4966,-0.0584,-0.4966,0.0584,-0.2716,-0.4046,0.3927,1.244,-0.375,1.2431
3,302,front,rear,cross,0.6926,-0.0019,0.1901,-0.516,0.8068,0.5381,-0.3951,-0.2186,0.4963,0.0607,-0.4963,-0.0607,0.3462,-0.3448,0.3447,1.1927,-0.4855,1.1527
3,326,front,lead,jab,0.0424,-0.6307,-0.7156,0.0989,0.5782,-0.2898,-0.7833,0.6716,0.4947,-0.0723,-0.4947,0.0723,-0.2963,-0.4438,0.4494,1.3994,-0.3309,1.4056
3,336,front,rear,cross,0.6619,0.0356,0.2488,-0.5419,0.7781,0.579,-0.4094,-0.213,0.4964,0.0597,-0.4964,-0.0597,0.231,-0.3608,0.3202,1.231,-0.5121,1.1921
4,13,side,lead,jab,2.09,-0.3274,0.0535,-0.0609,1.2455,-0.1448,-0.4019,0.3178,0.4998,-0.0143,-0.4998,0.0143,0.3182,-0.2565,0.3614,0.9841,-0.3112,0.9898
4,38,side,lead,jab,2.1694,-0.31,0.1898,-0.0521,1.2707,-0.1447,-0.1389,0.3546,0.4991,-0.0295,-0.4991,0.0295,0.3211,-0.2212,0.3906,0.9878,-0.2979,1.0005
4,61,side,lead,jab,2.049,-0.2322,0.1429,-0.0104,1.2246,-0.1268,-0.2284,0.4085,0.4794,-0.0238,-0.4794,0.0238,0.3405,-0.2218,0.3025,0.9903,-0.3402,1.0097
4,71,side,rear,cross,0.3112,0.5084,2.1763,-0.1558,-0.0779,0.3641,1.2123,-0.0783,-0.1878,0.0478,0.1878,-0.0478,0.5837,-0.0873,-0.068,1.0122,-0.2873,0.9878
4,99,side,lead,jab,1.9998,-0.2064,0.196,0.0149,1.1976,-0.0812,-0.192,0.4193,0.4672,-0.0171,-0.4672,0.0171,0.3509,-0.2186,0.2916,0.988,-0.3478,1.012
4,109,side,rear,cross,0.6836,0.1858,1.9474,-0.2281,0.3828,0.5099,0.9481,-0.1437,0.0724,0.1109,-0.0724,-0.1109,0.5293,-0.1653,0.1489,1.012,-0.2907,0.988
4,125,side,rear,hook,1.1301,0.0794,0.3316,0.0066,0.9573,0.3532,-0.042,0.4121,0.4107,-0.0172,-0.4107,0.0172,0.4237,-0.2464,0.4685,0.9819,-0.1836,1.0181
4,149,side,lead,jab,1.9876,-0.2235,0.197,0.0406,1.1563,-0.1084,-0.2444,0.4295,0.4446,-0.013,-0.4446,0.013,0.3722,-0.217,0.3336,0.9893,-0.3245,1.0107
4,159,side,rear,cross,0.6886,0.3539,1.8276,-0.1263,0.2273,0.3805,1.0681,-0.0102,-0.0395,0.0599,0.0395,-0.0599,0.5197,-0.1015,0.0268,1.0093,-0.3545,0.9907
4,173,side,rear,hook,1.0805,0.0655,0.2875,0.0033,1.0006,0.3637,-0.1407,0.4004,0.4353,0.0106,-0.4353,-0.0106,0.3634,-0.2304,0.3258,0.9938,-0.3619,1.0062
4,182,side,lead,jab,1.9621,-0.2331,0.2634,0.1057,1.2201,-0.0972,-0.2501,0.4439,0.447,-0.0142,-0.447,0.0142,0.3867,-0.1781,0.2451,0.9998,-0.3981,1.0002
4,191,side,rear,cross,0.5806,0.1259,1.9735,-0.1382,0.2275,0.1977,1.1176,-0.0717,-0.0596,0.0427,0.0596,-0.0427,0.5721,-0.0862,-0.0496,1.0123,-0.3601,0.9877
4,217,side,lead,jab,1.9023,-0.1885,0.1775,0.0542,1.1785,-0.0691,-0.3131,0.418,0.4572,-0.009,-0.4572,0.009,0.3483,-0.2074,0.2701,0.9993,-0.414,1.0007
4,226,side,rear,hook,0.5633,0.2691,1.6905,-0.1829,0.1915,0.4018,0.9585,-0.0761,0.0867,0.0706,-0.0867,-0.0706,0.655,-0.1636,0.0935,1.0111,-0.334,0.9889
5,24,front,lead,jab,0.8106,-0.0355,-0.1905,-0.9453,0.9547,0.5269,-0.2192,-0.5006,0.4904,0.0973,-0.4904,-0.0973,0.2074,-0.4469,0.3769,1.3184,-0.4256,1.286
5,54,front,rear,cross,0.1858,-0.5903,-0.5938,-0.0401,0.3645,-0.2478,-0.8853,0.3698,0.4987,-0.0362,-0.4987,0.0362,-0.1299,-0.3041,0.4032,1.0234,-0.3896,1.0243
5,87,front,rear,hook,0.7972,0.0122,0.1335,-0.6521,0.9153,0.5271,-0.9783,-0.4924,0.4792,0.1427,-0.4792,-0.1427,0.3612,-0.3573,0.2695,1.1954,-0.4941,1.162
5,119,front,lead,hook,0.19,-0.4329,-0.5873,-0.0478,1.0564,-0.2324,-0.9037,0.3473,0.4978,-0.0466,-0.4978,0.0466,-0.0976,-0.2539,0.3486,0.986,-0.3865,0.9789
5,150,front,rear,hook,0.7786,0.0093,0.2244,-0.6741,0.8873,0.4858,-0.8851,-0.475,0.4805,0.1384,-0.4805,-0.1384,0.3297,-0.3618,0.2374,1.0896,-0.4984,1.0579
5,178,front,lead,hook,0.1685,-0.4108,-0.6389,-0.0581,1.0906,-0.2325,-0.9654,0.3236,0.4978,-0.0471,-0.4978,0.0471,-0.1279,-0.2568,0.3634,0.9765,-0.4096,0.9767
5,208,front,rear,uppercut,0.7489,-0.0369,-0.2327,-0.7197,1.0922,0.4479,-0.6112,-0.0936,0.4991,0.0305,-0.4991,-0.0305,0.0836,-0.4075,0.4976,1.2433,-0.2982,1.2496
5,236,front,lead,uppercut,0.2115,-0.4209,-0.5443,-0.0677,0.5174,0.1058,-0.8828,0.3447,0.4996,-0.0208,-0.4996,0.0208,-0.0835,-0.2723,0.3542,1.0378,-0.4512,1.0339
5,267,front,rear,uppercut,0.7263,0.0003,-0.2321,-0.529,1.1072,0.5056,-0.5593,0.0862,0.4973,0.0521,-0.4973,-0.0521,0.1732,-0.3729,0.5514,1.284,-0.2421,1.2849
5,295,front,lead,uppercut,0.1879,-0.337,-0.5186,-0.0733,0.4709,0.139,-0.8547,0.3077,0.4999,-0.0095,-0.4999,0.0095,-0.1216,-0.2591,0.3199,0.959,-0.4391,0.954
5,321,front,rear,hook,0.9864,-0.0205,0.3637,-0.6189,1.1065,0.5813,-1.1436,-0.4687,0.4821,0.1325,-0.4821,-0.1325,0.514,-0.4026,0.3081,1.3461,-0.5146,1.3184
5,353,front,lead,hook,0.0465,-0.3138,-0.5938,-0.0581,1.0394,-0.1639,-0.9257,0.3336,0.4992,-0.029,-0.4992,0.029,-0.0643,-0.2684,0.3635,1.0328,-0.4572,1.0293
5,385,front,lead,jab,0.7881,-0.0303,-0.1185,-0.9367,0.913,0.5027,-0.2915,-0.4878,0.4947,0.0726,-0.4947,-0.0726,0.2549,-0.4014,0.2506,1.2243,-0.5142,1.2048
5,426,front,rear,cross,0.4132,-0.5091,-0.4795,-0.0757,0.6913,-0.1808,-0.8885,0.3001,0.4995,-0.0224,-0.4995,0.0224,-0.0374,-0.2828,0.4275,0.9424,-0.3276,0.947
5,451,front,rear,hook,0.9134,-0.0227,0.5852,-0.7076,1.0613,0.5597,-1.0076,-0.6016,0.4839,0.1257,-0.4839,-0.1257,0.4843,-0.3915,0.1696,1.3087,-0.6836,1.2639
5,483,front,lead,hook,0.0783,-0.4217,-0.6002,-0.063,1.0733,-0.3107,-0.9483,0.3522,0.4969,-0.0556,-0.4969,0.0556,-0.0376,-0.2617,0.4399,1.0119,-0.3804,1.0185
5,513,front,lead,jab,0.798,-0.0344,-0.0982,-0.911,0.9644,0.4927,-0.4141,-0.4681,0.4943,0.0753,-0.4943,-0.0753,0.2736,-0.3905,0.2516,1.1998,-0.5279,1.1799
5,545,front,rear,cross,0.2082,-0.588,-0.6111,-0.0979,0.4223,-0.2203,-0.8983,0.3011,0.4996,-0.0211,-0.4996,0.0211,-0.1782,-0.3392,0.3529,0.9705,-0.3949,0.963
5,574,front,rear,hook,0.9952,-0.006,0.8945,-0.7927,1.0352,0.6114,-0.7992,-0.5824,0.4667,0.1793,-0.4667,-0.1793,0.6494,-0.5027,0.2252,1.4524,-0.6341,1.396
5,604,front,lead,hook,0.0331,-0.1813,-0.6014,-0.0358,1.0331,-0.0553,-0.9349,0.3516,0.4996,-0.0201,-0.4996,0.0201,-0.1313,-0.2807,0.3452,0.924,-0.3846,0.915
6,16,side,lead,jab,0.1463,-0.0735,-1.8696,-0.0579,0.3731,0.2251,-1.1713,-0.0165,0.4999,0.0097,-0.4999,-0.0097,-0.2027,-0.2104,0.3053,0.7669,-0.3538,0.758
6,35,side,rear,cross,-2.2828,0.0037,-0.6229,0.5492,-1.3732,-0.0032,-0.1277,0.5448,-0.1283,-0.0769,0.1283,0.0769,-0.518,-0.212,0.1962,0.9895,-0.2065,1.0105
6,59,side,rear,hook,0.2206,-0.0615,-1.3631,-0.0817,0.4573,0.2521,-1.1048,0.0427,0.4997,0.0171,-0.4997,-0.0171,-0.1914,-0.1906,0.3225,0.7543,-0.3475,0.7462
6,86,side,rear,cross,-2.2277,-0.0014,-0.467,0.9192,-1.3611,0.0008,0.0735,0.5699,-0.1741,-0.0539,0.1741,0.0539,-0.5498,-0.1779,0.1554,0.993,-0.2058,1.007
6,122,side,lead,jab,-0.026,-0.0933,-1.4955,-0.0201,0.2353,0.2424,-1.0441,0.1246,0.4999,-0.0098,-0.4999,0.0098,-0.2949,-0.2392,0.341,0.781,-0.3536,0.7828
6,140,side,rear,cross,-2.3957,-0.0118,-0.8637,0.3039,-1.4399,0.0044,-0.2955,0.4904,-0.1926,-0.0616,0.1926,0.0616,-0.5722,-0.2331,0.1139,0.9883,-0.1855,1.0117
6,161,side,rear,hook,0.2443,-0.0602,-1.3385,-0.1057,0.4962,0.2237,-1.0997,-0.0276,0.4991,0.0303,-0.4991,-0.0303,-0.1574,-0.1918,0.2844,0.7348,-0.37,0.7189
6,189,side,rear,hook,-1.7231,-0.0722,-0.7702,0.1855,-1.3524,-0.0994,-0.2524,0.4888,-0.2609,-0.0637,0.2609,0.0637,-0.6442,-0.1673,0.0586,0.9927,-0.1162,1.0073
6,213,side,rear,uppercut,0.0985,-0.0917,-1.3343,0.0047,0.4791,0.1527,-1.03,0.2416,0.4991,-0.03,-0.4991,0.03,-0.2762,-0.1779,0.4441,0.77,-0.2487,0.7758
6,235,side,rear,uppercut,-1.6207,0.0371,-1.0741,0.1947,-0.964,0.3248,-0.6948,0.4658,-0.0751,-0.0311,0.0751,0.0311,-0.5624,-0.1738,0.1743,1.001,-0.2576,0.999
6,265,side,rear,uppercut,0.0753,-0.0903,-1.3772,0.0317,0.5192,0.1771,-1.0083,0.2739,0.4986,-0.037,-0.4986,0.037,-0.356,-0.1636,0.4463,0.7792,-0.2741,0.7857
6,294,side,rear,uppercut,-1.6236,0.0376,-1.1087,0.2483,-1.0261,0.3298,-0.5748,0.4523,-0.0867,-0.0172,0.0867,0.0172,-0.6793,-0.1408,0.2209,1.0016,-0.2786,0.9984
6,316,side,rear,uppercut,0.041,-0.1059,-1.3969,-0.0046,0.4343,0.1792,-1.0755,0.2641,0.4962,-0.0617,-0.4962,0.0617,-0.4103,-0.1847,0.4536,0.7784,-0.2598,0.7935
6,341,side,rear,uppercut,-1.5975,0.0386,-0.9702,0.2262,-1.0478,0.3041,-0.5628,0.4799,-0.0921,-0.037,0.0921,0.037,-0.6347,-0.1484,0.2143,0.996,-0.1742,1.004
6,364,side,rear,uppercut,0.0418,-0.0847,-1.2882,0.0202,0.4742,0.1928,-1.0601,0.2927,0.495,-0.0706,-0.495,0.0706,-0.3691,-0.1833,0.4635,0.7965,-0.2557,0.8125
6,391,side,rear,hook,0.2995,-0.0386,-1.277,-0.0471,0.5779,0.2581,-1.1123,0.015,0.4994,0.0246,-0.4994,-0.0246,-0.1681,-0.1597,0.3358,0.7504,-0.3392,0.7395
6,419,side,lead,hook,-1.6375,-0.0623,-0.7815,0.116,-1.024,-0.0949,-0.553,0.4508,-0.0042,-0.1206,0.0042,0.1206,-0.5559,-0.1812,0.3339,0.9851,-0.1541,1.0149
6,436,side,rear,hook,0.3105,-0.0633,-1.3872,-0.0561,0.6662,0.2383,-1.0964,0.0226,0.4993,0.0257,-0.4993,-0.0257,-0.1441,-0.1831,0.3961,0.7495,-0.287,0.7451
6,470,side,lead,hook,-1.6024,-0.0504,-0.8872,0.1237,-1.0611,-0.0549,-0.5816,0.4635,-0.0527,-0.1024,0.0527,0.1024,-0.5621,-0.1868,0.2556,0.9915,-0.1709,1.0085
6,494,side,rear,hook,0.2636,-0.0492,-1.3431,-0.0098,0.6274,0.2454,-1.1021,0.0845,0.4998,0.015,-0.4998,-0.015,-0.212,-0.1826,0.32,0.7792,-0.3733,0.7683
6,514,side,lead,jab,0.2576,-0.0698,-1.7931,-0.0675,0.6241,0.2159,-1.1262,-0.0446,0.4998,0.0146,-0.4998,-0.0146,-0.1994,-0.1724,0.3691,0.7253,-0.2857,0.7232
6,552,side,rear,cross,-2.0373,-0.0874,-1.1111,0.0157,-1.1762,-0.0244,-0.6899,0.4146,0.0894,-0.1204,-0.0894,0.1204,-0.5054,-0.2163,0.2755,0.9888,-0.2713,1.0112
6,579,side,lead,jab,0.1099,-0.0715,-1.4914,0.0022,0.3874,0.2436,-1.0432,0.1168,0.4997,-0.0161,-0.4997,0.0161,-0.3068,-0.2144,0.3483,0.7582,-0.3443,0.7598
6,602,side,rear,cross,-2.287,-0.0282,-0.8298,0.2605,-1.3667,0.0294,-0.3032,0.4664,-0.1703,-0.052,0.1703,0.052,-0.6027,-0.1349,0.2239,0.9897,-0.1286,1.0103
6,635,side,lead,jab,-0.0261,-0.0675,-1.4248,-0.0121,0.3849,0.2517,-1.0539,0.16,0.4997,-0.0161,-0.4997,0.0161,-0.3547,-0.2218,0.3467,0.7942,-0.3414,0.7961
6,662,side,rear,cross,-1.9836,-0.0957,-1.2381,0.0381,-1.1543,0.0163,-0.6998,0.4275,0.0995,-0.1159,-0.0995,0.1159,-0.5606,-0.2157,0.2484,0.9889,-0.33,1.0111
6,676,side,rear,hook,0.2518,-0.0565,-1.3768,-0.0531,0.575,0.2353,-1.057,0.029,0.4999,0.0119,-0.4999,-0.0119,-0.1758,-0.1797,0.3617,0.7248,-0.297,0.7213
6,714,side,lead,hook,-1.6655,-0.062,-0.8218,0.1782,-1.0229,-0.0871,-0.5499,0.4998,-0.0521,-0.1186,0.0521,0.1186,-0.6546,-0.1477,0.2386,0.9899,-0.1789,1.0101
